filename, flea_allergy
Copy-of-flea_15_jpg.rf.2d55202c1ee51c4761ed129e433c7b21.jpg, 1
Copy-of-flea_28_jpg.rf.b1dec346b5645e62bd1ff3149686e54d.jpg, 1
Copy-of-flea_19_jpg.rf.3c5762f4f3e472f029113df09d6d271e.jpg, 1
Copy-of-flea_24_jpg.rf.8837df50139ccdc668de3a4382355ad2.jpg, 1
Copy-of-flea_3_jpg.rf.c56eb0d9bb0d7f00f8dc80e494a60b04.jpg, 1
Copy-of-flea_7_jpg.rf.64fcb8e2d7b4b3fd22ed9800ea1d0492.jpg, 1
Copy-of-flea_16_jpg.rf.5e720e0e8b9e8ad4f4628e4bcfeb0348.jpg, 1
Copy-of-flea_1_jpg.rf.98f12be4d95b81215b0d35b4a5553fe0.jpg, 1
Copy-of-flea_13_jpg.rf.e185098548f63b703ed86ee4f34ae718.jpg, 1
Copy-of-flea_14_jpg.rf.e871f3ce2e7854679212996bd8c1ac97.jpg, 1
Copy-of-flea_5_jpg.rf.3a0d21412935202c6e5fbdc0e004e7f4.jpg, 1
Copy-of-flea_14_jpg.rf.c6d90ab80c0f328283a91c114809fb23.jpg, 1
Copy-of-flea_1_jpg.rf.b8e3add1a468c20898cb82b15555e390.jpg, 1
Copy-of-flea_31_jpg.rf.76bd4cf920bb12c7d84f7f2f7337e956.jpg, 1
Copy-of-flea_19_jpg.rf.cf207dfc546a11948da01f5e5a02128f.jpg, 1
Copy-of-flea_15_jpg.rf.e212b1d2713ef7376be1e2ca31411aba.jpg, 1
Copy-of-flea_9_jpg.rf.72adb60361285564531c201023e7ad57.jpg, 1
Copy-of-flea_23_jpg.rf.c370a8673975b8a8404ae14c266eebc9.jpg, 1
Copy-of-flea_7_jpg.rf.bc2f67ba36bb4eb3391be1716e49b36c.jpg, 1
Copy-of-flea_6_jpg.rf.8a421996ae769b0a0d6559a042e994f9.jpg, 1
Copy-of-flea_23_jpg.rf.ff15198cee85c8a25478c48b2d0911ba.jpg, 1
Copy-of-flea_16_jpg.rf.f32dd7db9bd72e6cf3191105c050dc2b.jpg, 1
Copy-of-flea_12_jpg.rf.fabc8e6d551360f3d3bb4cbfdbfdb813.jpg, 1
Copy-of-flea_28_jpg.rf.eccfb6fcdaff2c1b65a3950db6e2f9b6.jpg, 1
Copy-of-flea_16_jpg.rf.fb34a97fe15b9367d671f4912cb60aad.jpg, 1
Copy-of-flea_32_jpg.rf.bd621803233ca361b9285f7707fb195d.jpg, 1
Copy-of-flea_15_jpg.rf.b46b829177ad55fb7eebbc2a71d3d76e.jpg, 1
Copy-of-flea_29_jpg.rf.fe1498eec2abddd7412f66c2fa56cb52.jpg, 1
Copy-of-flea_20_jpg.rf.789d4dc6c29f5ded8fcd5ef414965aec.jpg, 1
Copy-of-flea_31_jpg.rf.a04c538a9c1bd34c5e639f7bdfe03237.jpg, 1
Copy-of-flea_5_jpg.rf.d5ddf3ea779c14b586084b93bb6414bf.jpg, 1
Copy-of-flea_3_jpg.rf.b800657f96ecc5a6df6dbebdcfd0c698.jpg, 1
